Formula label,helper lipid,NP ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU in HepG2,RLU in N2a,RLU in ARPE19
477,DOTAP,12,1,60,100,8.674,6.717,5.468
478,DOTAP,4,1,80,100,5.807,9.422,5.883
479,DOTAP,8,1,80,100,7.031,4.86,2.639
480,DOTAP,12,1,80,100,6.692,5.951,3.664
481,DOTAP,4,200,20,10,1.253,2.833,2.708
482,DOTAP,8,200,20,10,1.386,2.197,2.197
483,DOTAP,12,200,20,10,1.872,2.303,2.639
484,DOTAP,4,200,40,10,1.504,3.466,2.639
485,DOTAP,8,200,40,10,1.386,3.219,2.398
486,DOTAP,12,200,40,10,1.099,3.401,2.833
487,DOTAP,4,200,60,10,1.504,3.367,2.398
488,DOTAP,8,200,60,10,0.916,4.234,2.303
489,DOTAP,12,200,60,10,2.079,5.124,1.792
490,DOTAP,4,200,80,10,0.693,2.944,1.609
491,DOTAP,8,200,80,10,1.386,3.178,1.609
492,DOTAP,12,200,80,10,0.693,5.153,2.303
493,DOTAP,4,100,20,10,1.099,2.996,3.219
494,DOTAP,8,100,20,10,0.916,1.946,2.303
495,DOTAP,12,100,20,10,1.099,2.079,2.398
496,DOTAP,4,100,40,10,1.386,3.332,2.639
497,DOTAP,8,100,40,10,0.693,2.639,2.303
498,DOTAP,12,100,40,10,0.693,3.045,2.197
499,DOTAP,4,100,60,10,0.916,3.932,1.946
500,DOTAP,8,100,60,10,1.253,4.007,1.386
